thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
1,0,1,np.float64(0.019444444444444445),np.float64(-0.37592592592592594),1,0,0,1.752398,target',1,0,1,0,1.9860102,,5,1.9778021,1.9860102,1.9860102,0.0138371,3.7302944,np.float64(0.019444444444444445),np.float64(-0.37592592592592594),1,0,0,1.752398,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
2,0,2,np.float64(-0.43703703703703706),np.float64(-0.04814814814814815),1,0,0,1.4385429,target',2,0,2,0,3.7497333,,5,3.7413871,3.7497333,3.7497333,0.0109706,5.1800178,np.float64(-0.43703703703703706),np.float64(-0.04814814814814815),1,0,0,1.4385429,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
5,0,5,np.float64(-0.021296296296296296),np.float64(-0.4638888888888889),1,0,0,2.1726723,target',5,0,5,0,9.3812146,,5,9.3733491,9.3812146,9.3812146,0.0105521,11.5461211,np.float64(-0.021296296296296296),np.float64(-0.4638888888888889),1,0,0,2.1726723,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
6,0,6,np.float64(-0.19907407407407407),np.float64(0.32314814814814813),1,0,0,1.5212895,target',6,0,6,0,11.5654832,,5,11.5580809,11.5654832,11.5654832,0.0117706,13.07944,np.float64(-0.19907407407407407),np.float64(0.32314814814814813),1,0,0,1.5212895,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
7,0,7,np.float64(-0.262037037037037),np.float64(-0.026851851851851852),1,0,0,1.2051347,target',7,0,7,0,13.0976936,,5,13.0905308,13.0976936,13.0976936,0.0109389,14.2957236,np.float64(-0.262037037037037),np.float64(-0.026851851851851852),1,0,0,1.2051347,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
8,0,8,np.float64(0.07962962962962963),np.float64(0.33425925925925926),1,0,0,1.2721781,target',8,0,8,0,14.3156597,,5,14.3067522,14.3156597,14.3156597,0.0109192,15.5790105,np.float64(0.07962962962962963),np.float64(0.33425925925925926),1,0,0,1.2721781,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
10,0,10,np.float64(0.3574074074074074),np.float64(-0.22777777777777777),1,0,0,1.3217437,None,10,0,10,0,16.8978772,,5,16.8903059,16.8978772,16.8978772,0.0111669,18.212152,np.float64(0.3574074074074074),np.float64(-0.22777777777777777),1,0,0,1.3217437,None,2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
15,0,15,np.float64(-0.044444444444444446),np.float64(0.2777777777777778),1,0,0,1.0019383,target',15,0,15,0,25.0864923,,5,25.0764482,25.0864923,25.0864923,0.0143096,26.0784348,np.float64(-0.044444444444444446),np.float64(0.2777777777777778),1,0,0,1.0019383,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
20,0,20,np.float64(0.39351851851851855),np.float64(-0.07962962962962963),1,0,0,1.3728104,None,20,0,20,0,33.3798231,,5,33.3716413,33.3798231,33.3798231,0.0096686,34.7445149,np.float64(0.39351851851851855),np.float64(-0.07962962962962963),1,0,0,1.3728104,None,2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
26,0,26,np.float64(0.05185185185185185),np.float64(0.09166666666666666),1,0,0,1.4038831,target',26,0,26,0,45.1303976,,5,45.1232399,45.1303976,45.1303976,0.0124536,46.5271754,np.float64(0.05185185185185185),np.float64(0.09166666666666666),1,0,0,1.4038831,target',2,1,2025-09-30_15h20.33.792,Exp Visual Search,,2025.1.1,59.91137911,2025-09-30 15h20.49.430041 +0530
