thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
1,0,1,np.float64(0.1111111111111111),np.float64(0.4148148148148148),1,0,0,1.8667211,target',1,0,1,0,2.1133782,,5,2.1045714,2.1133782,2.1133782,0.0101419,3.9714142,np.float64(0.1111111111111111),np.float64(0.4148148148148148),1,0,0,1.8667211,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
2,0,2,np.float64(0.4648148148148148),np.float64(0.42777777777777776),1,0,0,2.3404051,target',2,0,2,0,3.9936608,,5,3.9866511,3.9936608,3.9936608,0.0150009,6.3271499,np.float64(0.4648148148148148),np.float64(0.42777777777777776),1,0,0,2.3404051,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
3,0,3,np.float64(0.06111111111111111),np.float64(-0.28888888888888886),1,0,0,2.4386349,target',3,0,3,0,6.345042,,5,6.3374686,6.345042,6.345042,0.0101143,8.7761547,np.float64(0.06111111111111111),np.float64(-0.28888888888888886),1,0,0,2.4386349,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
6,0,6,np.float64(0.475),np.float64(-0.20277777777777778),1,0,0,2.1585326,target',6,0,6,0,12.2582842,,5,12.2508058,12.2582842,12.2582842,0.0074809,14.4094043,np.float64(0.475),np.float64(-0.20277777777777778),1,0,0,2.1585326,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
7,0,7,np.float64(-0.21944444444444444),np.float64(0.3296296296296296),1,0,0,1.9399479,target',7,0,7,0,14.4269789,,5,14.4193294,14.4269789,14.4269789,0.009802,16.3593299,np.float64(-0.21944444444444444),np.float64(0.3296296296296296),1,0,0,1.9399479,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
9,0,9,np.float64(-0.2518518518518518),np.float64(-0.3787037037037037),1,0,0,1.755386,target',9,0,9,0,19.1605494,,5,19.1539013,19.1605494,19.1605494,0.0112164,20.9093595,np.float64(-0.2518518518518518),np.float64(-0.3787037037037037),1,0,0,1.755386,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
12,0,12,np.float64(-0.1287037037037037),np.float64(0.37592592592592594),1,0,0,1.6059472,target',12,0,12,0,25.3930884,,5,25.3863773,25.3930884,25.3930884,0.0102425,26.9923789,np.float64(-0.1287037037037037),np.float64(0.37592592592592594),1,0,0,1.6059472,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
13,0,13,np.float64(-0.39166666666666666),np.float64(-0.16111111111111112),1,0,0,1.6568865,target',13,0,13,0,27.0088943,,5,27.0014461,27.0088943,27.0088943,0.0089886,28.6583899,np.float64(-0.39166666666666666),np.float64(-0.16111111111111112),1,0,0,1.6568865,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
14,0,14,np.float64(-0.12129629629629629),np.float64(0.3574074074074074),1,0,0,1.6895816,target',14,0,14,0,28.6769113,,5,28.669082,28.6769113,28.6769113,0.0105822,30.3587475,np.float64(-0.12129629629629629),np.float64(0.3574074074074074),1,0,0,1.6895816,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
19,0,19,np.float64(0.006481481481481481),np.float64(-0.12685185185185185),1,0,0,1.5859496,target',19,0,19,0,37.6630281,,5,37.6549147,37.6630281,37.6630281,0.0128151,39.2409101,np.float64(0.006481481481481481),np.float64(-0.12685185185185185),1,0,0,1.5859496,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
20,0,20,np.float64(0.13518518518518519),np.float64(0.21203703703703702),1,0,0,1.6908553,target',20,0,20,0,39.2579721,,5,39.2501399,39.2579721,39.2579721,0.0091533,40.9410368,np.float64(0.13518518518518519),np.float64(0.21203703703703702),1,0,0,1.6908553,target',5,1,2025-09-30_16h29.34.670,Exp Visual Search,,2025.1.1,59.97843175,2025-09-30 16h29.42.325164 +0530
