study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,references,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2_looptype.thisRepN,trials_2_looptype.thisTrialN,trials_2_looptype.thisN,trials_2_looptype.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,test.stopped,trials_2_looptype.test_textbox.text,trials_2_looptype.testmouse.x,trials_2_looptype.testmouse.y,trials_2_looptype.testmouse.leftButton,trials_2_looptype.testmouse.midButton,trials_2_looptype.testmouse.rightButton,trials_2_looptype.testmouse.time,trials_2_looptype.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,v_s_,vase,new,VASE,"[np.float64(-0.5092592592592593), np.float64(-0.027777777777777776), np.float64(-0.037037037037037035)]","[np.float64(-0.30925925925925923), np.float64(0.000925925925925926), np.float64(-0.31851851851851853)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.25289230000635143, 1.735521200011135, 13.952074100001482]","[None, None, 'submit_text']",,,,,0,0,0,17,15.1902105,,,,,,,,15.1653683,15.1902105,15.1902105,15.1902105,0.0140764,25.2002122,29.1178328,VASE,"[np.float64(-0.5092592592592593), np.float64(-0.027777777777777776), np.float64(-0.037037037037037035)]","[np.float64(-0.30925925925925923), np.float64(0.000925925925925926), np.float64(-0.31851851851851853)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.25289230000635143, 1.735521200011135, 13.952074100001482]","[None, None, 'submit_text']",EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,2,2,0,,,p_li_e,police,old,POLICE,"[np.float64(-0.07222222222222222), np.float64(-0.06018518518518518)]","[np.float64(-0.3388888888888889), np.float64(-0.3175925925925926)]","[1, 1]","[0, 0]","[0, 0]","[4.495547300000908, 6.096260099991923]","[None, 'submit_text']",,,,,0,2,2,7,37.699125,,,,,,,,37.6871402,37.699125,37.699125,37.699125,0.0037995,,43.7837603,POLICE,"[np.float64(-0.07222222222222222), np.float64(-0.06018518518518518)]","[np.float64(-0.3388888888888889), np.float64(-0.3175925925925926)]","[1, 1]","[0, 0]","[0, 0]","[4.495547300000908, 6.096260099991923]","[None, 'submit_text']",EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,3,3,0,,,_oo_,book,old,BOOK,[np.float64(-0.07777777777777778)],[np.float64(-0.3148148148148148)],[1],[0],[0],[5.911923400009982],['submit_text'],,,,,0,3,3,13,43.7986931,,,,,,,,43.7877074,43.7986931,43.7986931,43.7986931,0.003721,,49.7000262,BOOK,[np.float64(-0.07777777777777778)],[np.float64(-0.3148148148148148)],[1],[0],[0],[5.911923400009982],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,4,4,0,,,p_nc_l,pencil,new,PENCIL,[np.float64(-0.04722222222222222)],[np.float64(-0.29814814814814816)],[1],[0],[0],[5.445152399988729],['submit_text'],,,,,0,4,4,16,49.715041,,,,,,,,49.7040947,49.715041,49.715041,49.715041,0.0038973,,55.1496614,PENCIL,[np.float64(-0.04722222222222222)],[np.float64(-0.29814814814814816)],[1],[0],[0],[5.445152399988729],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,9,9,0,,,c_m_ra,camera,new,CAMERA,[np.float64(-0.04351851851851852)],[np.float64(-0.3074074074074074)],[1],[0],[0],[6.61112879999564],['submit_text'],,,,,0,9,9,19,84.4630595,,,,,,,,84.4530345,84.4630595,84.4630595,84.4630595,0.004698,,91.0645967,CAMERA,[np.float64(-0.04351851851851852)],[np.float64(-0.3074074074074074)],[1],[0],[0],[6.61112879999564],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,11,11,0,,,t_hi_t,tshirt,old,TSHIRT,[np.float64(-0.0824074074074074)],[np.float64(-0.32037037037037036)],[1],[0],[0],[3.7940085000009276],['submit_text'],,,,,0,11,11,2,99.5796648,,,,,,,,99.5686983,99.5796648,99.5796648,99.5796648,0.0041706,,103.3631379,TSHIRT,[np.float64(-0.0824074074074074)],[np.float64(-0.32037037037037036)],[1],[0],[0],[3.7940085000009276],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,12,12,0,,,l_pt_p,laptop,old,LAPTOP,[np.float64(-0.0824074074074074)],[np.float64(-0.32037037037037036)],[1],[0],[0],[4.14624649999314],['submit_text'],,,,,0,12,12,0,103.3783093,,,,,,,,103.366784,103.3783093,103.3783093,103.3783093,0.0035084,,107.5134471,LAPTOP,[np.float64(-0.0824074074074074)],[np.float64(-0.32037037037037036)],[1],[0],[0],[4.14624649999314],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,13,13,0,,,bo_t_e,bottle,new,BOTTLE,[np.float64(-0.07962962962962963)],[np.float64(-0.30925925925925923)],[1],[0],[0],[13.976572600004147],['submit_text'],,,,,0,13,13,18,107.5283365,,,,,,,,107.5178447,107.5283365,107.5283365,107.5283365,0.0042283,117.5277405,121.4947745,BOTTLE,[np.float64(-0.07962962962962963)],[np.float64(-0.30925925925925923)],[1],[0],[0],[13.976572600004147],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,15,15,0,,,k_y_,keys,old,KEYS,[np.float64(-0.07962962962962963)],[np.float64(-0.30925925925925923)],[1],[0],[0],[9.013739199988777],['submit_text'],,,,,0,15,15,8,126.393962,,,,,,,,126.3809658,126.393962,126.393962,126.393962,0.0029854,,135.3950936,KEYS,[np.float64(-0.07962962962962963)],[np.float64(-0.30925925925925923)],[1],[0],[0],[9.013739199988777],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
,16,16,0,,,c_s_,case,old,"CASE
",[np.float64(0.07314814814814814)],[np.float64(-0.3074074074074074)],[1],[0],[0],[33.95993179999641],['submit_text'],,,,,0,16,16,5,135.4097205,,,,,,,,135.3989218,135.4097205,135.4097205,135.4097205,0.0036521,145.4093894,169.3593528,"CASE
",[np.float64(0.07314814814814814)],[np.float64(-0.3074074074074074)],[1],[0],[0],[33.95993179999641],['submit_text'],EXP1,1,2025-10-31_10h50.58.752,Word Priming Experiment,,2025.1.1,60.03280192,2025-10-31 10h51.14.728933 +0530
