Face_file,Sound_file,Face_emotion,Sound_emotion,Congruency,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,Fixation.started,Image.started,key_resp.started,Sound.started,Fixation.stopped,Image.stopped,Sound.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,2,2,0,s,1,2.0847943,None,0,2,2,2,19.2632573,,,,,,,,19.2606747,19.2632573,19.6443403,19.6443403,19.64424527,19.7776969,21.6479312,21.6479312,21.744413,s,1,2.0847943,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,4,4,0,h,1,2.1697828,None,0,4,4,1,25.4006346,,,,,,,,25.3906453,25.4006346,25.7448019,25.7448019,25.74387227,25.9113462,27.7476701,27.7476701,27.9275555,h,1,2.1697828,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,7,7,0,a,1,1.9741061,None,0,7,7,0,33.4484694,,,,,,,,33.4459661,33.4484694,33.7772196,33.7772196,33.77699067,33.9602044,35.8036892,35.8036892,35.7722378,a,1,1.9741061,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,14,5,1,s,1,2.9996011,None,1,5,14,2,54.4788293,,,,,,,,54.4752113,54.4788293,54.9422971,54.9422971,54.94249517,54.9925114,56.9420836,56.9420836,57.9426047,s,1,2.9996011,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,15,6,1,h,1,2.3112797,None,1,6,15,1,58.1480754,,,,,,,,58.1377805,58.1480754,58.4433027,58.4433027,58.44202417,58.6598145,60.446395,60.446395,60.7587199,h,1,2.3112797,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,17,8,1,a,1,2.2224787,None,1,8,17,0,63.8018123,,,,,,,,63.7987064,63.8018123,64.1417299,64.1417299,64.14177927,64.3082315,66.1461335,66.1461335,66.3752428,a,1,2.2224787,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,18,0,2,a,1,2.2868895,None,2,0,18,0,66.5359528,,,,,,,,66.5337624,66.5359528,66.875101,66.875101,66.87464557,67.0416377,68.8745848,68.8745848,69.1752202,a,1,2.2868895,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,20,2,2,h,1,1.9660542,None,2,2,20,1,72.6202272,,,,,,,,72.6119896,72.6202272,72.9420663,72.9420663,72.94091887,73.1249266,,,74.9091256,h,1,1.9660542,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,23,5,2,s,1,1.7205661,None,2,5,23,2,81.3594155,,,,,,,,81.3562541,81.3594155,81.8406147,81.8406147,81.84036687,81.8740668,,,83.5744621,s,1,1.7205661,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,30,3,3,s,1,1.6549131,None,3,3,30,2,102.9738003,,,,,,,,102.9616336,102.9738003,103.4226562,103.4226562,103.4225316,103.4892215,,,105.0896277,s,1,1.6549131,None,P2,1,2025-11-20_09h04.09.810,Final Solo Project Psy310,,2025.1.1,60.39300142,2025-11-20 09h04.38.088857 +0530
