pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixtion.started,line1.started,line2.started,line3.started,line4.started,fixtion.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,1.2465412,None,0,0,0,0,,,,,0.0170867,,0.0097506,0.0170867,1.0125997,1.0125997,1.0125997,1.0125997,1.0288136,2.0122046,2.0122046,3.2898818,x,1,1.2465412,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
150,v,1,1,0,v,1,0.3296333,None,0,1,1,1,,,,,3.294935,,3.2901778,3.294935,4.295529,4.295529,4.295529,4.295529,4.295529,5.2954753,5.2954753,5.6292218,v,1,0.3296333,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
50,c,2,2,0,c,1,0.3138115,None,0,2,2,2,,,,,5.6457207,,5.6296646,5.6457207,6.629055,6.629055,6.629055,6.629055,6.6456045,7.6287754,7.6287754,7.9461689,c,1,0.3138115,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
-150,z,3,3,0,z,1,0.3955255,None,0,3,3,3,,,,,7.9625604,,7.9466112,7.9625604,8.9456871,8.9456871,8.9456871,8.9456871,8.9620642,9.9451279,9.9451279,10.3458623,z,1,0.3955255,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
-50,x,4,0,1,x,1,0.3679888,None,1,0,4,0,,,,,10.3619089,,10.3463176,10.3619089,11.3451899,11.3451899,11.3451899,11.3451899,11.3616646,12.3447364,12.3447364,12.7286064,x,1,0.3679888,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
150,v,5,1,1,v,1,0.2872632,None,1,1,5,1,,,,,12.7448739,,12.728827,12.7448739,13.7278887,13.7278887,13.7278887,13.7278887,13.7446646,14.7284103,14.7284103,15.0284626,v,1,0.2872632,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
50,c,6,2,1,c,1,0.2611235,None,1,2,6,2,,,,,15.0448477,,15.0286942,15.0448477,16.0283418,16.0283418,16.0283418,16.0283418,16.0447068,17.0282424,17.0282424,17.2957273,c,1,0.2611235,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
-150,z,7,3,1,z,1,0.3718636,None,1,3,7,3,,,,,17.3115045,,17.2961708,17.3115045,18.2948238,18.2948238,18.2948238,18.2948238,18.3116444,19.3113149,19.3113149,19.6953725,z,1,0.3718636,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
-50,x,8,0,2,x,1,0.4402393,None,2,0,8,0,,,,,19.7113453,,19.6958641,19.7113453,20.6946133,20.6946133,20.6946133,20.6946133,20.7111722,21.6944895,21.6944895,22.1454189,x,1,0.4402393,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
150,v,9,1,2,v,1,0.5306208,None,2,1,9,1,,,,,22.1611393,,22.1459512,22.1611393,23.1613204,23.1613204,23.1613204,23.1613204,23.1613204,24.1611596,24.1611596,24.6950798,v,1,0.5306208,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
50,c,10,2,2,c,1,0.2804129,None,2,2,10,2,,,,,24.7108563,,24.695542,24.7108563,25.711185,25.711185,25.711185,25.711185,25.711185,26.6943612,26.6943612,26.9783925,c,1,0.2804129,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
-150,z,11,3,2,z,1,0.2501636,None,2,3,11,3,,,,,26.9942227,,26.9789092,26.9942227,27.9941248,27.9941248,27.9941248,27.9941248,27.9941248,28.9774412,28.9774412,29.2448745,z,1,0.2501636,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
-50,x,12,0,3,x,1,0.4057686,None,3,0,12,0,,,,,29.2610386,,29.2453428,29.2610386,30.2442392,30.2442392,30.2442392,30.2442392,30.2609321,31.2441683,31.2441683,31.6613695,x,1,0.4057686,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
150,v,13,1,3,v,1,0.3370559,None,3,1,13,1,,,,,31.6774117,,31.6618556,31.6774117,32.660834,32.660834,32.660834,32.660834,32.6770638,33.6607037,33.6607037,34.011243,v,1,0.3370559,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
50,c,14,2,3,c,1,0.2640019,None,3,2,14,2,,,,,34.0271232,,34.0117836,34.0271232,35.0105715,35.0105715,35.0105715,35.0105715,35.0270289,36.0269276,36.0269276,36.2944511,c,1,0.2640019,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
-150,z,15,3,3,z,1,0.1993471,None,3,3,15,3,,,,,36.310541,,36.2949503,36.310541,37.2938291,37.2938291,37.2938291,37.2938291,37.3102262,38.2934481,38.2934481,38.4942717,z,1,0.1993471,None,,,,,F3,1,2025-10-02_08h59.55.562,Motor sequence,,2025.1.1,59.9726045,2025-10-02 09h00.31.495488 +0530
