thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,np.float64(0.30092592592592593),np.float64(-0.001851851851851852),1,0,0,1.1937383,target',0,0,0,0,0.0331094,,5,0.0226682,0.0331094,0.0331094,0.02269,1.2164619,np.float64(0.30092592592592593),np.float64(-0.001851851851851852),1,0,0,1.1937383,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
4,0,4,np.float64(-0.125),np.float64(-0.10925925925925926),1,0,0,1.6230394,target',4,0,4,0,8.0164317,,5,8.0086587,8.0164317,8.0164317,0.0095269,9.6317726,np.float64(-0.125),np.float64(-0.10925925925925926),1,0,0,1.6230394,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
6,0,6,np.float64(-0.027777777777777776),np.float64(-0.0824074074074074),1,0,0,1.7376064,target',6,0,6,0,11.0522936,,5,11.0448899,11.0522936,11.0522936,0.0126412,12.7825737,np.float64(-0.027777777777777776),np.float64(-0.0824074074074074),1,0,0,1.7376064,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
7,0,7,np.float64(-0.014814814814814815),np.float64(0.22962962962962963),1,0,0,1.3053575,target',7,0,7,0,12.8005927,,5,12.7927087,12.8005927,12.8005927,0.0100026,14.0981192,np.float64(-0.014814814814814815),np.float64(0.22962962962962963),1,0,0,1.3053575,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
8,0,8,np.float64(-0.46111111111111114),np.float64(0.47129629629629627),1,0,0,1.7398144,target',8,0,8,0,14.1169511,,5,14.1085224,14.1169511,14.1169511,0.0103088,15.8484464,np.float64(-0.46111111111111114),np.float64(0.47129629629629627),1,0,0,1.7398144,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
10,0,10,np.float64(0.4935185185185185),np.float64(0.06759259259259259),1,0,0,1.3740321,target',10,0,10,0,18.0813565,,5,18.0741206,18.0813565,18.0813565,0.0094297,19.4482277,np.float64(0.4935185185185185),np.float64(0.06759259259259259),1,0,0,1.3740321,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
11,0,11,np.float64(-0.1712962962962963),np.float64(-0.1),1,0,0,1.6213725,target',11,0,11,0,19.469083,,5,19.460061,19.469083,19.469083,0.011657,21.0814849,np.float64(-0.1712962962962963),np.float64(-0.1),1,0,0,1.6213725,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
12,0,12,np.float64(0.29907407407407405),np.float64(0.48148148148148145),1,0,0,1.7061109,target',12,0,12,0,21.1000883,,5,21.0913665,21.1000883,21.1000883,0.0097881,22.7975357,np.float64(0.29907407407407405),np.float64(0.48148148148148145),1,0,0,1.7061109,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
13,0,13,np.float64(0.375),np.float64(-0.05185185185185185),1,0,0,1.6733934,target',13,0,13,0,22.8162273,,5,22.8074784,22.8162273,22.8162273,0.0098337,24.4809334,np.float64(0.375),np.float64(-0.05185185185185185),1,0,0,1.6733934,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
14,0,14,np.float64(0.26944444444444443),np.float64(-0.1527777777777778),1,0,0,1.1865707,target',14,0,14,0,24.5025918,,5,24.4943147,24.5025918,24.5025918,0.0131369,25.6809446,np.float64(0.26944444444444443),np.float64(-0.1527777777777778),1,0,0,1.1865707,target',3,1,2025-09-30_15h29.36.087,Exp Visual Search,,2025.1.1,60.00736891,2025-09-30 15h29.46.791160 +0530
