stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank.started,text.started,text.stopped,Thank.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
49,0.5,9.5,59.603310500009684,,59.58781379999709,59.603310500009684,60.08678849998978,60.08678849998978,60.08678849998978,60.38665599998785,60.40397899999516,right,9.5,0,0,0.30360160002601333,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
50,0.5,10.0,60.420011100010015,,60.40425079999841,60.420011100010015,60.90357439999934,60.90357439999934,60.90357439999934,61.204005900013726,61.403918399999384,right,10.0,1,1,0.49236410000594333,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
51,0.5,10.0,61.41984499999671,,61.40418549999595,61.41984499999671,61.903419799986295,61.903419799986295,61.903419799986295,62.20408570001018,62.32072859999607,right,10.0,1,1,0.4039850999834016,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
52,0.5,10.0,62.33649889999651,,62.320965299993986,62.33649889999651,62.82004610000877,62.82004610000877,62.82004610000877,63.11984689999372,63.270720600005006,left,-10.0,1,1,0.4432866999995895,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
53,0.5,9.5,63.2865080999909,,63.27101689999108,63.2865080999909,63.770220100006554,63.770220100006554,63.770220100006554,64.06983250001213,64.18537890000152,right,9.5,1,1,0.41295030000037514,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
54,0.5,9.5,64.20182970000315,,64.18553039999097,64.20182970000315,64.68495110000367,64.68495110000367,64.68495110000367,64.98714340000879,65.07007789998897,left,-9.5,1,1,0.3844690000114497,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
55,0.5,9.5,65.08693250000942,,65.0702750000055,65.08693250000942,65.56982629999402,65.56982629999402,65.56982629999402,65.87034100000164,66.01985979999881,left,-9.5,1,1,0.4465442000073381,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
56,0.5,9.0,66.03640650000307,,66.02003740001237,66.03640650000307,66.52049590001116,66.52049590001116,66.52049590001116,66.83645149998483,66.97019439999713,right,9.0,1,1,0.4416876999894157,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
57,0.5,9.0,66.98605909998878,,66.97043899999699,66.98605909998878,67.48652259999653,67.48652259999653,67.48652259999653,67.78637529999833,67.88697570000659,right,9.0,1,1,0.3867411999963224,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
58,0.5,9.0,67.9034616999852,,67.88722450000932,67.9034616999852,68.38642029999755,68.38642029999755,68.38642029999755,68.68650169999455,69.38711869998951,left,-9.0,1,1,0.9878106999967713,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
59,0.5,8.5,69.40278770000441,,69.38738759999978,69.40278770000441,69.90166569998837,69.90166569998837,69.90166569998837,70.20307620000676,70.42000589999952,right,8.5,1,1,0.509256599994842,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
60,0.5,8.5,70.43629350000992,,70.42025299998932,70.43629350000992,70.91964070001268,70.91964070001268,70.91964070001268,71.2196394999919,71.40343460001168,right,8.5,1,1,0.471625900012441,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
61,0.5,8.5,71.41975579998689,,71.40369529998861,71.41975579998689,71.91909350000788,71.91909350000788,71.91909350000788,72.21953040000517,72.38595510000596,right,8.5,1,1,0.45284159999573603,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
62,0.5,8.0,72.40206399999443,,72.38617720000912,72.40206399999443,72.88585739998962,72.88585739998962,72.88585739998962,73.18558280001162,73.35395280001103,right,8.0,1,1,0.4524167000199668,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
63,0.5,8.0,73.36953329999233,,73.35416260000784,73.36953329999233,73.86944619999849,73.86944619999849,73.86944619999849,74.16921120000188,75.08639039998525,left,-8.0,1,1,1.2062296999793034,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
64,0.5,8.0,75.10253309999825,,75.08664470000076,75.10253309999825,75.58465889998479,75.58465889998479,75.58465889998479,75.88578660000348,76.20217450000928,right,8.0,1,1,0.6018585000128951,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
65,0.5,7.5,76.21864139998797,,76.20243440000922,76.21864139998797,76.70322269998724,76.70322269998724,76.70322269998724,77.00255450000986,77.26896529999794,left,-7.5,1,1,0.5639191000082064,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
66,0.5,7.5,77.28533189999871,,77.26921090000542,77.28533189999871,77.76893389999168,77.76893389999168,77.76893389999168,78.06885800001328,78.16993989999173,right,7.5,1,1,0.38996319999569096,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
67,0.5,7.5,78.18575649999548,,78.17019450000953,78.18575649999548,78.6839570000011,78.6839570000011,78.6839570000011,78.98559820000082,79.10353600000963,left,-7.5,1,1,0.4053221000067424,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
68,0.5,7.0,79.11900929998956,,79.10380459998851,79.11900929998956,79.61897049998515,79.61897049998515,79.61897049998515,79.91906429998926,79.90320279999287,right,7.0,1,1,0.2715772000083234,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
69,0.5,7.0,79.91906429998926,,79.90355879999697,79.91906429998926,80.40232580000884,80.40232580000884,80.40232580000884,80.71726720000152,80.91769299999578,right,7.0,1,1,0.5086413999961223,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
70,0.5,7.0,80.934279899986,,80.91780540000764,80.934279899986,81.41859710001154,81.41859710001154,81.41859710001154,81.7190522000019,81.86837179999566,left,-7.0,1,1,0.4330941999796778,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
71,0.5,6.5,81.88525180000579,,81.86853820001124,81.88525180000579,82.36831879999954,82.36831879999954,82.36831879999954,82.66895419999491,82.66950670001097,left,-6.5,0,0,0.2949403000238817,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
72,0.5,7.0,82.68516039999668,,82.66980750000221,82.68516039999668,83.16873679999844,83.16873679999844,83.16873679999844,83.46897519999766,84.00249740001163,left,-7.0,1,1,0.8208547999965958,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
73,0.5,7.0,84.01868949999334,,84.00274659998831,84.01868949999334,84.50159299999359,84.50159299999359,84.50159299999359,84.80188089999137,84.90250279998872,left,-7.0,1,1,0.3885271000035573,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
74,0.5,7.0,84.9187161999871,,84.9027175999945,84.9187161999871,85.4022016999952,85.4022016999952,85.4022016999952,85.70205699998769,85.88569739999366,right,7.0,1,1,0.4797158000001218,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
75,0.5,6.5,85.90206289998605,,85.88594909998938,85.90206289998605,86.38539390001097,86.38539390001097,86.38539390001097,86.68530310000642,86.85213159999694,left,-6.5,1,1,0.45188529998995364,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
76,0.5,6.5,86.86764429998584,,86.85237949999282,86.86764429998584,87.35193929998786,87.35193929998786,87.35193929998786,87.65186720000929,87.81970530000399,right,6.5,1,1,0.46644789999118075,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
77,0.5,6.5,87.83464769998682,,87.81997049998608,87.83464769998682,88.33386610000161,88.33386610000161,88.33386610000161,88.63375360000646,89.0349358000094,left,-6.5,0,0,0.6856224000221118,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
78,0.5,7.0,89.05140130000655,,89.03512970000156,89.05140130000655,89.53590270000859,89.53590270000859,89.53590270000859,89.83512529998552,90.06893020001007,left,-7.0,1,1,0.5200729999924079,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
79,0.5,7.0,90.08509169999161,,90.06917929998599,90.08509169999161,90.56850419999682,90.56850419999682,90.56850419999682,90.86827400000766,90.95210319999023,left,-7.0,0,0,0.37857920001260936,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
80,0.5,7.5,90.96775670000352,,90.9523571000027,90.96775670000352,91.46715680000489,91.46715680000489,91.46715680000489,91.76724889999605,92.11791800000356,left,-7.5,1,1,0.650436100026127,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
81,0.5,7.5,92.13324729999295,,92.11804329999723,92.13324729999295,92.61819489998743,92.61819489998743,92.61819489998743,92.91816470000776,93.0681360999879,right,7.5,1,1,0.44064079999225214,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
82,0.5,7.5,93.08421110000927,,93.06831430000602,93.08421110000927,93.56810999999288,93.56810999999288,93.56810999999288,93.86831670001266,93.95193000001018,right,7.5,0,0,0.38160040002549067,,,,,527906,001,2025-09-04_09h56.11.577,Experiment,,2025.1.1,60.32771220391816,2025-09-04 09h56.12.965147 +0530,
