Face_file,Sound_file,Face_emotion,Sound_emotion,Congruency,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,Fixation.started,Image.started,key_resp.started,Sound.started,Fixation.stopped,Sound.stopped,Image.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0014408999995794147,0.012877700006356463,21.15493809999316,space,21.110282300011022,None,,,,,,,,,,,,,,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,0,0,0,s,1,2.763644699996803,None,0,0,0,2,21.196507699991344,,,,,,,,21.193543500005035,21.196507699991344,21.667830499995034,21.667830499995034,21.659677666674057,21.709607400000095,23.665229500009445,23.675923900009366,24.443206800002372,s,1,2.763644699996803,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Anger.jpg,Sound_file/Happy.wav,Anger,Happy,I,h,1,1,0,h,1,1.5465541000012308,None,0,1,1,5,24.514813199988566,,,,,,,,24.512560200004373,24.514813199988566,24.94258639999316,24.94258639999316,24.942456566674323,25.02617910000845,,,26.493294499989133,h,1,1.5465541000012308,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Anger.wav,Sad,Anger,I,a,2,2,0,a,1,1.4816965000063647,None,0,2,2,4,26.67924930001027,,,,,,,,26.676348699984374,26.67924930001027,27.009493199991994,27.009493199991994,27.00928216666604,27.19256279998808,,,28.49305920000188,a,1,1.4816965000063647,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Happy.jpg,Sound_file/Anger.wav,Happy,Anger,I,a,3,3,0,a,1,1.2613411999773234,None,0,3,3,3,28.83717849999084,,,,,,,,28.828817800007528,28.83717849999084,29.026495900005102,29.026495900005102,29.025838766658367,29.343057299993234,,,30.29380109999329,a,1,1.2613411999773234,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,4,4,0,h,1,1.393486999993911,None,0,4,4,1,30.452711199992336,,,,,,,,30.44475070000044,30.452711199992336,30.826478400005726,30.826478400005726,30.825568166652616,30.95952129998477,,,32.227100999996765,h,1,1.393486999993911,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,5,5,0,a,1,2.294482199999038,None,0,5,5,0,32.46649600000819,,,,,,,,32.464016399986576,32.46649600000819,32.75883119998616,32.75883119998616,32.75900666666372,32.975398499984294,34.758765400009,34.758765400009,35.05917839999893,a,1,2.294482199999038,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Happy.wav,Sad,Happy,I,h,6,6,0,h,1,1.4215841999975964,None,0,6,6,6,35.087265200010734,,,,,,,,35.084521599987056,35.087265200010734,35.55861969999387,35.55861969999387,35.558500566669196,35.59203699999489,,,36.99278369999956,h,1,1.4215841999975964,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Anger.jpg,Sound_file/Sad.wav,Anger,Sad,I,s,7,7,0,s,1,1.3015706000151113,None,0,7,7,7,37.034813700011,,,,,,,,37.03194919999805,37.034813700011,37.52538269999786,37.52538269999786,37.525118766676556,37.542216000001645,,,38.84237939998275,s,1,1.3015706000151113,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Happy.jpg,Sound_file/Sad.wav,Happy,Sad,I,s,8,8,0,s,1,1.7403843000065535,None,0,8,8,8,38.978564299992286,,,,,,,,38.96958989999257,38.978564299992286,39.359089800011134,39.359089800011134,39.358460466672355,39.49257040000521,,,41.109794199990574,s,1,1.7403843000065535,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Happy.jpg,Sound_file/Happy.wav,Happy,Happy,C,h,9,0,1,h,1,1.1209307000099216,None,1,0,9,1,41.25810300000012,,,,,,,,41.24898810000741,41.25810300000012,41.6257084000099,41.6257084000099,41.62503676666917,41.75912299999618,,,42.75970319999033,h,1,1.1209307000099216,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Anger.jpg,Sound_file/Anger.wav,Anger,Anger,C,a,10,1,1,a,1,1.3620272999978624,None,1,1,10,0,42.918642800010275,,,,,,,,42.907018900004914,42.918642800010275,43.29174939999939,43.29174939999939,43.291668666676074,43.42492369998945,,,44.65912259998731,a,1,1.3620272999978624,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,11,2,1,s,1,1.0589798000000883,None,1,2,11,2,44.69451050000498,,,,,,,,44.69162649998907,44.69451050000498,45.19141800000216,45.19141800000216,45.19150896667658,45.20835880000959,,,46.258770599990385,s,1,1.0589798000000883,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Happy.wav,Sad,Happy,I,h,12,3,1,h,1,1.067324900010135,None,1,3,12,6,46.30065329998615,,,,,,,,46.29854379998869,46.30065329998615,46.77472799998941,46.77472799998941,46.774815166664,46.80813499999931,,,47.858685499988496,h,1,1.067324900010135,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Happy.jpg,Sound_file/Anger.wav,Happy,Anger,I,a,13,4,1,a,1,1.8429209999740124,None,1,4,13,3,48.12012449998292,,,,,,,,48.11174480000045,48.12012449998292,48.39151029998902,48.39151029998902,48.39088126665253,48.624915899999905,,,50.24216319998959,a,1,1.8429209999740124,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Happy.jpg,Sound_file/Sad.wav,Happy,Sad,I,s,14,5,1,h,0,1.1746562999906018,None,1,5,14,8,50.38685469998745,,,,,,,,50.37830219999887,50.38685469998745,50.75812789998599,50.75812789998599,50.75739856667157,50.89155140001094,,,51.94322290000855,h,0,1.1746562999906018,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Anger.jpg,Sound_file/Sad.wav,Anger,Sad,I,s,15,6,1,s,1,0.9043614999973215,None,1,6,15,7,52.048077799991006,,,,,,,,52.03450999999768,52.048077799991006,52.474456299998565,52.474456299998565,52.47436676666645,52.55768130000797,,,53.391680200002156,s,1,0.9043614999973215,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Anger.wav,Sad,Anger,I,a,16,7,1,a,1,1.1662629000202287,None,1,7,16,4,53.53637739998521,,,,,,,,53.53342479999992,53.53637739998521,53.924094699992565,53.924094699992565,53.92419516665201,54.041192300006514,,,55.09160270000575,a,1,1.1662629000202287,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Anger.jpg,Sound_file/Happy.wav,Anger,Happy,I,h,17,8,1,h,1,1.2493926000024658,None,1,8,17,5,55.1424410000036,,,,,,,,55.13978160000988,55.1424410000036,55.607569899992086,55.607569899992086,55.60747876667689,55.657757200009655,,,56.85807349998504,h,1,1.2493926000024658,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Happy.jpg,Sound_file/Anger.wav,Happy,Anger,I,a,18,0,2,a,1,1.5904080999898724,None,2,0,18,3,57.09654659999069,,,,,,,,57.08779289998347,57.09654659999069,57.37473459998728,57.37473459998728,57.373978066669466,57.60796799999662,,,58.97501709999051,a,1,1.5904080999898724,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Happy.wav,Sad,Happy,I,h,19,1,2,h,1,2.5865154000057373,None,2,1,19,6,59.031281500007026,,,,,,,,59.01966859999811,59.031281500007026,59.50725580001017,59.50725580001017,59.50735956666564,59.54065829998581,61.51396389998263,61.51396389998263,62.10756020000554,h,1,2.5865154000057373,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Sad.jpg,Sound_file/Sad.wav,Sad,Sad,C,s,20,2,2,s,1,2.79517389999819,None,2,2,20,2,62.12489169999026,,,,,,,,62.12290409998968,62.12489169999026,62.607041100010974,62.607041100010974,62.606761066654386,62.64025070000207,64.6090039999981,64.6090039999981,65.4073519000085,s,1,2.79517389999819,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
Face_file/Anger.jpg,Sound_file/Happy.wav,Anger,Happy,I,h,21,3,2,h,1,1.0573118000174873,None,2,3,21,5,65.44580049999058,,,,,,,,65.4430188999977,65.44580049999058,65.9068505000032,65.9068505000032,65.90673366666694,65.9567839000083,,,66.97419010000885,h,1,1.0573118000174873,None,P3,001,2025-11-20_10h21.40.014,Final Solo Project Psy310,,2025.1.1,59.963290473273645,2025-11-20 10h21.49.752202 +0530,
