thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,0,2,np.float64(-0.4675925925925926),np.float64(0.4009259259259259),1,0,0,1.5567446,target',2,0,2,0,7.5185996,,5,7.5115144,7.5185996,7.5185996,0.0089562,9.0683069,np.float64(-0.4675925925925926),np.float64(0.4009259259259259),1,0,0,1.5567446,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
3,0,3,np.float64(0.31296296296296294),np.float64(0.13333333333333333),1,0,0,2.574791,target',3,0,3,0,9.0841441,,5,9.0766713,9.0841441,9.0841441,0.0082838,11.6515056,np.float64(0.31296296296296294),np.float64(0.13333333333333333),1,0,0,2.574791,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
5,0,5,np.float64(0.075),np.float64(0.016666666666666666),1,0,0,1.890626,target',5,0,5,0,13.7342677,,5,13.7274379,13.7342677,13.7342677,0.0090418,15.6181132,np.float64(0.075),np.float64(0.016666666666666666),1,0,0,1.890626,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
6,0,6,np.float64(-0.362962962962963),np.float64(0.22407407407407406),1,0,0,1.6408915,target',6,0,6,0,15.6340342,,5,15.6270931,15.6340342,15.6340342,0.0088973,17.2680285,np.float64(-0.362962962962963),np.float64(0.22407407407407406),1,0,0,1.6408915,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
7,0,7,np.float64(0.49074074074074076),np.float64(0.3824074074074074),1,0,0,1.9912821,target',7,0,7,0,17.2837366,,5,17.2765441,17.2837366,17.2837366,0.0084447,19.267875,np.float64(0.49074074074074076),np.float64(0.3824074074074074),1,0,0,1.9912821,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
12,0,12,np.float64(-0.04351851851851852),np.float64(0.3638888888888889),1,0,0,1.6255018,target',12,0,12,0,33.3492028,,5,33.3413207,33.3492028,33.3492028,0.0074996,34.9668669,np.float64(-0.04351851851851852),np.float64(0.3638888888888889),1,0,0,1.6255018,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
14,0,14,np.float64(0.3194444444444444),np.float64(0.32222222222222224),1,0,0,1.358264,target',14,0,14,0,37.1495584,,5,37.1419764,37.1495584,37.1495584,0.0074018,38.5003125,np.float64(0.3194444444444444),np.float64(0.32222222222222224),1,0,0,1.358264,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
16,0,16,np.float64(0.275),np.float64(-0.3212962962962963),1,0,0,1.8575074,target',16,0,16,0,39.7994877,,5,39.792264,39.7994877,39.7994877,0.0085611,41.6498246,np.float64(0.275),np.float64(-0.3212962962962963),1,0,0,1.8575074,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
17,0,17,np.float64(0.4305555555555556),np.float64(-0.3787037037037037),1,0,0,1.9756633,target',17,0,17,0,41.665614,,5,41.6574432,41.665614,41.665614,0.0075399,43.6331497,np.float64(0.4305555555555556),np.float64(-0.3787037037037037),1,0,0,1.9756633,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
19,0,19,np.float64(-0.45185185185185184),np.float64(0.48148148148148145),1,0,0,1.6247412,target',19,0,19,0,46.0666612,,5,46.0580855,46.0666612,46.0666612,0.0084344,47.6828691,np.float64(-0.45185185185185184),np.float64(0.48148148148148145),1,0,0,1.6247412,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
24,0,24,np.float64(0.2),np.float64(-0.0962962962962963),1,0,0,1.6755875,target',24,0,24,0,54.8662122,,5,54.8573669,54.8662122,54.8662122,0.0080333,56.5330432,np.float64(0.2),np.float64(-0.0962962962962963),1,0,0,1.6755875,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
25,0,25,np.float64(0.41388888888888886),np.float64(-0.13425925925925927),1,0,0,1.8719572,target',25,0,25,0,56.5518017,,5,56.5436754,56.5518017,56.5518017,0.0104638,58.4156855,np.float64(0.41388888888888886),np.float64(-0.13425925925925927),1,0,0,1.8719572,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
27,0,27,np.float64(-0.33796296296296297),np.float64(0.14351851851851852),1,0,0,2.6918297,target',27,0,27,0,60.0146015,,5,60.0066907,60.0146015,60.0146015,0.0078836,62.6985631,np.float64(-0.33796296296296297),np.float64(0.14351851851851852),1,0,0,2.6918297,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
29,0,29,np.float64(0.30462962962962964),np.float64(0.29074074074074074),1,0,0,2.3249597,target',29,0,29,0,64.7481853,,5,64.7403137,64.7481853,64.7481853,0.0080911,67.0653366,np.float64(0.30462962962962964),np.float64(0.29074074074074074),1,0,0,2.3249597,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
31,0,31,np.float64(0.1787037037037037),np.float64(0.2935185185185185),1,0,0,1.8579443,target',31,0,31,0,70.1319376,,5,70.1236923,70.1319376,70.1319376,0.0083277,71.9816789,np.float64(0.1787037037037037),np.float64(0.2935185185185185),1,0,0,1.8579443,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
32,0,32,np.float64(0.38333333333333336),np.float64(0.33425925925925926),1,0,0,1.4753096,target',32,0,32,0,71.9969338,,5,71.9898192,71.9969338,71.9969338,0.0080675,73.4651832,np.float64(0.38333333333333336),np.float64(0.33425925925925926),1,0,0,1.4753096,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
33,0,33,np.float64(-0.16666666666666666),np.float64(0.29074074074074074),1,0,0,1.6581959,target',33,0,33,0,73.480298,,5,73.4729383,73.480298,73.480298,0.0076814,75.1311876,np.float64(-0.16666666666666666),np.float64(0.29074074074074074),1,0,0,1.6581959,target',94327,1,2025-09-30_15h12.26.204,Exp Visual Search,,2025.1.1,59.94208396,2025-09-30 15h12.30.538870 +0530
