pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixtion.started,line1.started,line2.started,line3.started,line4.started,fixtion.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.8781058,None,0,0,0,0,,,,,0.0142362,,0.0095785,0.0142362,0.9995799,0.9995799,0.9995799,0.9995799,1.0163911,1.9994859,1.9994859,2.9059082,x,1,0.8781058,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
150,v,1,1,0,v,1,0.5347219,None,0,1,1,1,,,,,2.9109489,,2.9061246,2.9109489,3.9157326,3.9157326,3.9157326,3.9157326,3.9157326,4.9159578,4.9159578,5.4667692,v,1,0.5347219,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
50,c,2,2,0,c,1,0.2959757,None,0,2,2,2,,,,,5.4827358,,5.4672725,5.4827358,6.4659839,6.4659839,6.4659839,6.4659839,6.4825479,7.4826214,7.4826214,7.7827522,c,1,0.2959757,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
-150,z,3,3,0,z,1,0.2717182,None,0,3,3,3,,,,,7.7991585,,7.7832082,7.7991585,8.7825271,8.7825271,8.7825271,8.7825271,8.7990939,9.7842784,9.7842784,10.0660128,z,1,0.2717182,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
-50,x,4,0,1,x,1,0.2592639,None,1,0,4,0,,,,,10.08219,,10.0664367,10.08219,11.0656845,11.0656845,11.0656845,11.0656845,11.0822985,12.065619,12.065619,12.3327871,x,1,0.2592639,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
150,v,5,1,1,v,1,0.2447053,None,1,1,5,1,,,,,12.3489762,,12.3332361,12.3489762,13.3322225,13.3322225,13.3322225,13.3322225,13.3489855,14.3322189,14.3322189,14.582726,v,1,0.2447053,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
50,c,6,2,1,c,1,0.2920745,None,1,2,6,2,,,,,14.5986522,,14.5833362,14.5986522,15.5820303,15.5820303,15.5820303,15.5820303,15.5988525,16.5820253,16.5820253,16.8825881,c,1,0.2920745,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
-150,z,7,3,1,z,1,0.2696998,None,1,3,7,3,,,,,16.8985171,,16.8831843,16.8985171,17.882028,17.882028,17.882028,17.882028,17.8984912,18.8818077,18.8818077,19.1657223,z,1,0.2696998,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
-50,x,8,0,2,x,1,0.3040212,None,2,0,8,0,,,,,19.1818947,,19.1662372,19.1818947,20.165399,20.165399,20.165399,20.165399,20.1815754,21.1651546,21.1651546,21.4823855,x,1,0.3040212,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
150,v,9,1,2,v,1,0.275874,None,2,1,9,1,,,,,21.4986088,,21.4828333,21.4986088,22.4817629,22.4817629,22.4817629,22.4817629,22.4982008,23.4816879,23.4816879,23.7656341,v,1,0.275874,None,,,,,F1,1,2025-10-01_14h20.22.753,Motor sequence,,2025.1.1,59.95196648,2025-10-01 14h20.28.636565 +0530
