pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixtion.started,line1.started,line2.started,line3.started,line4.started,fixtion.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.7970104,None,0,0,0,0,,,,,0.0194973,,0.0130519,0.0194973,1.0079438,1.0079438,1.0079438,1.0079438,1.0244402,2.0076327,2.0076327,2.831641,x,1,0.7970104,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
150,v,1,1,0,v,1,0.6610309,None,0,1,1,1,,,,,2.8365132,,2.8319078,2.8365132,3.8408597,3.8408597,3.8408597,3.8408597,3.8408597,4.8406006,4.8406006,5.5080125,v,1,0.6610309,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
50,c,2,2,0,c,1,0.6428812,None,0,2,2,2,,,,,5.5241238,,5.5085175,5.5241238,6.5074203,6.5074203,6.5074203,6.5074203,6.5240887,7.5072022,7.5072022,8.1576925,c,1,0.6428812,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-150,z,3,3,0,z,1,0.6841921,None,0,3,3,3,,,,,8.1741442,,8.1581353,8.1741442,9.1574789,9.1574789,9.1574789,9.1574789,9.1735916,10.1572513,10.1572513,10.8577903,z,1,0.6841921,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-50,x,4,0,1,x,1,0.5728776,None,1,0,4,0,,,,,10.8738133,,10.8582594,10.8738133,11.8570578,11.8570578,11.8570578,11.8570578,11.8735636,12.8571779,12.8571779,13.4406982,x,1,0.5728776,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
150,v,5,1,1,v,1,0.3817706,None,1,1,5,1,,,,,13.4570842,,13.4411414,13.4570842,14.4403698,14.4403698,14.4403698,14.4403698,14.4568684,15.440068,15.440068,15.8242779,v,1,0.3817706,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
50,c,6,2,1,c,1,0.6753555,None,1,2,6,2,,,,,15.8399808,,15.8249795,15.8399808,16.8235475,16.8235475,16.8235475,16.8235475,16.8400524,17.8400661,17.8400661,18.5239593,c,1,0.6753555,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-150,z,7,3,1,z,1,0.4523144,None,1,3,7,3,,,,,18.5399309,,18.5244862,18.5399309,19.5236063,19.5236063,19.5236063,19.5236063,19.5399599,20.5398207,20.5398207,21.0071196,z,1,0.4523144,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-50,x,8,0,2,x,1,0.567566,None,2,0,8,0,,,,,21.0232411,,21.0075637,21.0232411,22.0063704,22.0063704,22.0063704,22.0063704,22.0231388,23.023079,23.023079,23.6068196,x,1,0.567566,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
150,v,9,1,2,v,1,0.5313951,None,2,1,9,1,,,,,23.6226829,,23.607268,23.6226829,24.606155,24.606155,24.606155,24.606155,24.6227847,25.6062376,25.6062376,26.1401721,v,1,0.5313951,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
50,c,10,2,2,c,1,0.971995,None,2,2,10,2,,,,,26.1562228,,26.1406278,26.1562228,27.1392937,27.1392937,27.1392937,27.1392937,27.1559245,28.139373,28.139373,29.1232522,c,1,0.971995,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-150,z,11,3,2,z,1,0.8279448,None,2,3,11,3,,,,,29.1391929,,29.1236969,29.1391929,30.122679,30.122679,30.122679,30.122679,30.1391303,31.1225327,31.1225327,31.9564561,z,1,0.8279448,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-50,x,12,0,3,x,1,0.6784639,None,3,0,12,0,,,,,31.9725023,,31.9569013,31.9725023,32.9558458,32.9558458,32.9558458,32.9558458,32.972533,33.9555106,33.9555106,34.6394352,x,1,0.6784639,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
150,v,13,1,3,v,1,0.7573297,None,3,1,13,1,,,,,34.6555432,,34.6398722,34.6555432,35.6385116,35.6385116,35.6385116,35.6385116,35.655469,36.6388779,36.6388779,37.4058945,v,1,0.7573297,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
50,c,14,2,3,c,1,0.6572424,None,3,2,14,2,,,,,37.4219786,,37.4063475,37.4219786,38.4053909,38.4053909,38.4053909,38.4053909,38.4219095,39.4053613,39.4053613,40.072391,c,1,0.6572424,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-150,z,15,3,3,z,1,0.5586509,None,3,3,15,3,,,,,40.0885532,,40.0728509,40.0885532,41.0719132,41.0719132,41.0719132,41.0719132,41.0883855,42.071886,42.071886,42.6391763,z,1,0.5586509,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-50,x,16,0,4,x,1,0.6340834,None,4,0,16,0,,,,,42.655025,,42.6396314,42.655025,43.638405,43.638405,43.638405,43.638405,43.6551421,44.6384548,44.6384548,45.288936,x,1,0.6340834,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
150,v,17,1,4,v,1,0.7885164,None,4,1,17,1,,,,,45.3050852,,45.2894145,45.3050852,46.2883998,46.2883998,46.2883998,46.2883998,46.3051895,47.2881318,47.2881318,48.088856,v,1,0.7885164,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
50,c,18,2,4,c,1,0.680432,None,4,2,18,2,,,,,48.1048069,,48.0893782,48.1048069,49.0880882,49.0880882,49.0880882,49.0880882,49.1047561,50.0877867,50.0877867,50.7721958,c,1,0.680432,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-150,z,19,3,4,z,1,1.4216146,None,4,3,19,3,,,,,50.7879947,,50.7726555,50.7879947,51.7713697,51.7713697,51.7713697,51.7713697,51.7879681,52.7715251,52.7715251,54.2051173,z,1,1.4216146,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-50,x,20,0,5,x,1,0.8134884,None,5,0,20,0,,,,,54.2209772,,54.2055646,54.2209772,55.2043595,55.2043595,55.2043595,55.2043595,55.2212558,56.220977,56.220977,57.0380152,x,1,0.8134884,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
150,v,21,1,5,v,1,0.4647731,None,5,1,21,1,,,,,57.0542365,,57.0384599,57.0542365,58.0375528,58.0375528,58.0375528,58.0375528,58.0543153,59.0373873,59.0373873,59.5048248,v,1,0.4647731,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
50,c,22,2,5,c,1,0.4716005,None,5,2,22,2,,,,,59.5208015,,59.5052763,59.5208015,60.5207621,60.5207621,60.5207621,60.5207621,60.5207621,61.5042383,61.5042383,61.987753,c,1,0.4716005,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-150,z,23,3,5,z,1,0.6960948,None,5,3,23,3,,,,,62.0040607,,61.9882026,62.0040607,62.9872309,62.9872309,62.9872309,62.9872309,63.0040209,63.9872104,63.9872104,64.6876208,z,1,0.6960948,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-50,x,24,0,6,x,1,0.7034896,None,6,0,24,0,,,,,64.7037082,,64.6880678,64.7037082,65.686966,65.686966,65.686966,65.686966,65.7037981,66.6869895,66.6869895,67.4044704,x,1,0.7034896,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
150,v,25,1,6,v,1,0.5544859,None,6,1,25,1,,,,,67.420342,,67.4049113,67.420342,68.4200056,68.4200056,68.4200056,68.4200056,68.4200056,69.4036815,69.4036815,69.9708404,v,1,0.5544859,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
50,c,26,2,6,c,1,1.1508448,None,6,2,26,2,,,,,69.986883,,69.9712792,69.986883,70.9703502,70.9703502,70.9703502,70.9703502,70.9870419,71.9703645,71.9703645,73.1369949,c,1,1.1508448,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
-150,z,27,3,6,z,1,0.7480402,None,6,3,27,3,,,,,73.1533167,,73.1374612,73.1533167,74.1367161,74.1367161,74.1367161,74.1367161,74.153029,75.1362721,75.1362721,75.8870326,z,1,0.7480402,None,,,,,F2,1,2025-10-01_18h50.07.105,Motor sequence,,2025.1.1,59.85525807,2025-10-01 18h51.03.497985 +0530
